リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
oyachai/HearthSim,https://github.com/oyachai/HearthSim,k-nishiura,Game,,,,,,,Generic Hearthstone game simulator,一般的なHearthstoneゲームシミュレーター
PCGen/pcgen,https://github.com/PCGen/pcgen,k-nishiura,Game,Multimedia,,,,,,Main code and data development for pcgen program release,pcgenプログラムリリースのメインコードとデータ開発
PEXPlugins/PermissionsEx,https://github.com/PEXPlugins/PermissionsEx,k-nishiura,Game,Utility,,,,,,PermissionsEx Plugin for bukkit,bukkitのPermissionsExプラグイン
PhoenicisOrg/phoenicis,https://github.com/PhoenicisOrg/phoenicis,k-nishiura,Game,,,,,,,Phoenicis PlayOnLinux and PlayOnMac 5 repository,Phoenicis PlayOnLinuxおよびPlayOnMac 5リポジトリ
simon987/Much-Assembly-Required,https://github.com/simon987/Much-Assembly-Required,k-nishiura,Game,,,,,,,Assembly programming game,アセンブリプログラミングゲーム
SpoutDev/Spout,https://github.com/SpoutDev/Spout,k-nishiura,Game,,,k-yamamoto,Game,,,Open source - multithreaded - voxel game engine and platform - written in Java.,オープンソース-マルチスレッド-ボクセルゲームエンジンおよびプラットフォーム-Javaで記述されています。
SquidPony/SquidLib,https://github.com/SquidPony/SquidLib,k-nishiura,Game,,,,,,,Useful tools for roguelike - role-playing - strategy - and other grid-based games in Java. Feedback is welcome!,ローグライク-ロールプレイ-戦略-およびJavaのその他のグリッドベースのゲームに役立つツール。フィードバックは大歓迎です！
triplea-game/triplea,https://github.com/triplea-game/triplea,k-nishiura,Game,,,,,,,TripleA is a turn based strategy game and board game engine - similar to Axis & Allies or Risk.,TripleAは、ターンベースの戦略ゲームおよびボードゲームエンジンです。Axis＆AlliesまたはRiskに似ています。
UnderwaterApps/overlap2d,https://github.com/UnderwaterApps/overlap2d,k-nishiura,Game,,,,,,,Overlap2D Game development toolkit for UI and Level design,UIおよびレベルデザイン用のOverlap2Dゲーム開発ツールキット
SpigotMC/Spigot-API,https://github.com/SpigotMC/Spigot-API,k-nishiura,Game,,,,,,,OUTDATED - SEE https://hub.spigotmc.org/stash/projects/SPIGOT,古い-https://hub.spigotmc.org/stash/projects/SPIGOTを参照
bmwcarit/barefoot,https://github.com/bmwcarit/barefoot,k-nishiura,Geospatial,,,,,,,Java map matching library for integrating the map into software and services with state-of-the-art online and offline map matching that can be used stand-alone and in the cloud.,スタンドアロンおよびクラウドで使用できる最新のオンラインおよびオフラインマップマッチングを使用して、マップをソフトウェアおよびサービスに統合するためのJavaマップマッチングライブラリ。
Esri/geometry-api-java,https://github.com/Esri/geometry-api-java,k-nishiura,Geospatial,,,,,,,The Esri Geometry API for Java enables developers to write custom applications for analysis of spatial data.  This API is used in the Esri GIS Tools for Hadoop and other 3rd-party data processing solutions.,Java用のEsri Geometry APIを使用すると、開発者は空間データを分析するためのカスタムアプリケーションを作成できます。このAPIは、Esri GIS Tools for Hadoopおよびその他のサードパーティのデータ処理ソリューションで使用されます。
geogebra/geogebra,https://github.com/geogebra/geogebra,k-nishiura,Geospatial,,,,,,,GeoGebra apps (mirror),GeoGebraアプリ（ミラー）
geoserver/geoserver,https://github.com/geoserver/geoserver,k-nishiura,Geospatial,Network,,,,,,Official GeoServer repository,公式GeoServerリポジトリ
geosolutions-it/geoserver-manager,https://github.com/geosolutions-it/geoserver-manager,k-nishiura,Geospatial,,,,,,,Java client library for GeoServer,GeoServerのJavaクライアントライブラリ
gisgraphy/gisgraphy,https://github.com/gisgraphy/gisgraphy,k-nishiura,Geospatial,,,,,,,geocoding and geolocalisation webservices for Geonames - Openstreetmap - and quattroshapes data,Geonames-Openstreetmap-およびquattroshapesデータのジオコーディングおよびジオローカリゼーションWebサービス
googlemaps/google-maps-services-java,https://github.com/googlemaps/google-maps-services-java,k-nishiura,Geospatial,Web,,,,,,Java client library for Google Maps API Web Services,Google Maps API WebサービスのJavaクライアントライブラリ
graphhopper/jsprit,https://github.com/graphhopper/jsprit,k-nishiura,Geospatial,,,,,,,jsprit is a java based - open source toolkit for solving rich vehicle routing problems,jspritは、Javaベースの-豊富な車両ルーティング問題を解決するためのオープンソースツールキットです。
JMRI/JMRI,https://github.com/JMRI/JMRI,k-nishiura,Geospatial,Multimedia,,,,,,JMRI model railroad digital command & control software,JMRIモデル鉄道デジタルコマンド＆コントロールソフトウェア
kiegroup/optaplanner,https://github.com/kiegroup/optaplanner,k-nishiura,Geospatial,Science,,,,,,Java Constraint Solver to solve vehicle routing - employee rostering - task assignment - conference scheduling and other planning problems.,車両ルーティングを解決するためのJava Constraint Solver-従業員名簿作成-タスク割り当て-会議のスケジューリングおよびその他の計画の問題。
ktuukkan/marine-api,https://github.com/ktuukkan/marine-api,k-nishiura,Geospatial,,,,,,,Java Marine API - NMEA 0183 library for Java,Java Marine API-Java用NMEA 0183ライブラリ
locationtech/geogig,https://github.com/locationtech/geogig,k-nishiura,Geospatial,,,,,,,GeoGig project,GeoGigプロジェクト
locationtech/geowave,https://github.com/locationtech/geowave,k-nishiura,Geospatial,Web,Database,,,,,GeoWave provides geospatial and temporal indexing on top of Accumulo - HBase - BigTable - Cassandra - and DynamoDB,GeoWaveは、Accumulo-HBase-BigTable-Cassandra-およびDynamoDBに加えて、地理空間および時間インデックスを提供します
locationtech/spatial4j,https://github.com/locationtech/spatial4j,k-nishiura,Geospatial,,,,,,,LocationTech Spatial4j: A Geospatial Library for Java,LocationTech Spatial4j：Javaの地理空間ライブラリ
mapsforge/mapsforge,https://github.com/mapsforge/mapsforge,k-nishiura,Geospatial,,,,,,,Vector map library and writer - running on Android and Desktop.,ベクトルマップライブラリおよびライター-Androidおよびデスクトップで実行。
mendhak/gpslogger,https://github.com/mendhak/gpslogger,k-nishiura,Geospatial,Web,Android,,,,,":satellite: Lightweight GPS Logging Application For Android. Available on the Android Market as ""GPSLogger for Android""",：satellite：Android向けの軽量GPSロギングアプリケーション。 Androidマーケットで「Android用GPSLogger」として利用可能
ngageoint/mrgeo,https://github.com/ngageoint/mrgeo,k-nishiura,Geospatial,,,,,,,MrGeo is a geospatial toolkit designed to provide raster-based geospatial capabilities that can be performed at scale. MrGeo is built upon Apache Spark and the Hadoop ecosystem to leverage the storage and processing of hundreds of commodity computers.  See the wiki for more details.,MrGeoは、大規模に実行できるラスターベースの地理空間機能を提供するように設計された地理空間ツールキットです。 MrGeoはApache SparkとHadoopエコシステムに基づいて構築されており、数百台の汎用コンピューターのストレージと処理を活用しています。詳細については、Wikiを参照してください。
OneBusAway/onebusaway-android,https://github.com/OneBusAway/onebusaway-android,k-nishiura,Geospatial,Android,,,,,,The official Android/Fire Phone app for OneBusAway,OneBusAwayの公式Android / Fire Phoneアプリ
OneBusAway/onebusaway-application-modules,https://github.com/OneBusAway/onebusaway-application-modules,k-nishiura,Geospatial,Web,,,,,,The core OneBusAway application suite.,コアOneBusAwayアプリケーションスイート。
openstreetmap/osmosis,https://github.com/openstreetmap/osmosis,k-nishiura,Geospatial,,,,,,,Osmosis is a command line Java application for processing OSM data.,Osmosisは、OSMデータを処理するためのコマンドラインJavaアプリケーションです。
opentripplanner/OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner,k-nishiura,Geospatial,Web,,,,,,An open source multi-modal trip planner,オープンソースのマルチモーダル旅行プランナー
openxc/openxc-android,https://github.com/openxc/openxc-android,k-nishiura,Geospatial,,,,,,,Android library for accessing vehicle data from an OpenXC vehicle interface,OpenXC車両インターフェースから車両データにアクセスするためのAndroidライブラリ
osmdroid/osmdroid,https://github.com/osmdroid/osmdroid,k-nishiura,Geospatial,Android,,,,,,OpenStreetMap-Tools for Android,OpenStreetMap-Tools for Android
sdoward/RxGoogleMaps,https://github.com/sdoward/RxGoogleMaps,k-nishiura,Geospatial,,,,,,,Rx Wrapper For Android Google maps,Rx Wrapper for Android Googleマップ
sky-map-team/stardroid,https://github.com/sky-map-team/stardroid,k-nishiura,Geospatial,,,,,,,Sky Map (formerly Google Sky Map - open sourced in 2012),Sky Map（以前のGoogle Sky Map-2012年にオープンソース化）
traccar/traccar,https://github.com/traccar/traccar,k-nishiura,Geospatial,,,,,,,Traccar GPS Tracking System,Traccar GPS追跡システム
apache/activemq,https://github.com/apache/activemq,k-nishiura,Middleware,,,,,,,Mirror of Apache ActiveMQ,Apache ActiveMQのミラー
apache/oozie,https://github.com/apache/oozie,k-nishiura,Middleware,,,,,,,Mirror of Apache Oozie,Apache Oozieのミラー
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework,k-nishiura,Middleware,,,,,,,Framework for Evolutionary Event-Driven Microservices on the JVM,JVM上の進化的イベント駆動型マイクロサービスのフレームワーク
azkaban/azkaban,https://github.com/azkaban/azkaban,k-nishiura,Middleware,Operation,,,,,,Azkaban workflow manager.,アズカバンワークフローマネージャー。
copper-engine/copper-engine,https://github.com/copper-engine/copper-engine,k-nishiura,Middleware,,,,,,,COPPER - a high performance Java workflow engine,COPPER-高性能Javaワークフローエンジン
eclipse/paho.mqtt.java,https://github.com/eclipse/paho.mqtt.java,k-nishiura,Middleware,,,,,,,Eclipse Paho Java MQTT client library.  Paho is an Eclipse IoT project.,Eclipse Paho Java MQTTクライアントライブラリ。 PahoはEclipse IoTプロジェクトです。
foursquare/heapaudit,https://github.com/foursquare/heapaudit,k-nishiura,Middleware,,,,,,,,
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,k-nishiura,Middleware,,,,,,,Open IoT Framework,オープンIoTフレームワーク
haraldk/TwelveMonkeys,https://github.com/haraldk/TwelveMonkeys,k-nishiura,Middleware,Multimedia,,,,,,TwelveMonkeys ImageIO: Additional plug-ins and extensions for Java's ImageIO,TwelveMonkeys ImageIO：JavaのImageIO用の追加のプラグインと拡張機能
hekailiang/squirrel,https://github.com/hekailiang/squirrel,k-nishiura,Middleware,,,,,,,squirrel-foundation is a State Machine library - which provided a lightweight - easy use - type safe and programmable state machine implementation for Java.,squirrel-foundationはステートマシンライブラリであり、軽量で使いやすいJava用のタイプセーフでプログラム可能なステートマシンの実装を提供します。
jnr/jnr-ffi,https://github.com/jnr/jnr-ffi,k-nishiura,Middleware,,,,,,,Java Abstracted Foreign Function Layer,Java抽象外部関数層
neophob/PixelController,https://github.com/neophob/PixelController,k-nishiura,Middleware,,,,,,,(LED) Matrix Control Software - supports various Hardware - Keywords: LED Matrix - OSC - Realtime - VJ - Arduino - Teensy - RPI,（LED）マトリックス制御ソフトウェア-さまざまなハードウェアをサポート-キーワード：LEDマトリックス-OSC-リアルタイム-VJ-Arduino-Teensy-RPI
Netflix/karyon,https://github.com/Netflix/karyon,k-nishiura,Middleware,,,,,,,The nucleus or the base container for Applications and Services built using the NetflixOSS ecosystem,NetflixOSSエコシステムを使用して構築されたアプリケーションおよびサービスのニュークリアスまたはベースコンテナ
Pi4J/pi4j,https://github.com/Pi4J/pi4j,k-nishiura,Middleware,,,,,,,Java I/O library for Raspberry Pi (GPIO - I2C - SPI - UART),Raspberry Pi用のJava I / Oライブラリ（GPIO-I2C-SPI-UART）
puniverse/quasar,https://github.com/puniverse/quasar,k-nishiura,Middleware,,,,,,,Fibers - Channels and Actors for the JVM,ファイバー-JVMのチャネルとアクター
pveentjer/Multiverse,https://github.com/pveentjer/Multiverse,k-nishiura,Middleware,,,,,,,Software Transactional Memory Implementation for the JVM,JVMのソフトウェアトランザクションメモリの実装
rabbitmq/rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client,k-nishiura,Middleware,,,,,,,RabbitMQ Java client,RabbitMQ Javaクライアント
rackerlabs/repose,https://github.com/rackerlabs/repose,k-nishiura,Middleware,,,,,,,The powerful - programmable - API Middleware Platform,強力なプログラム可能なAPIミドルウェアプラットフォーム
sentilo/sentilo,https://github.com/sentilo/sentilo,k-nishiura,Middleware,,,,,,,Sentilo platform,Sentiloプラットフォーム
usb4java/usb4java,https://github.com/usb4java/usb4java,k-nishiura,Middleware,,,,,,,USB library for Java based on libusb,libusbベースのJava用USBライブラリ
zeroturnaround/zt-exec,https://github.com/zeroturnaround/zt-exec,k-nishiura,Middleware,,,,,,,ZeroTurnaround Process Executor,ZeroTurnaround Process Executor
nkcoder/quartz-explained,https://github.com/nkcoder/quartz-explained,k-nishiura,Middleware,Performance,,,,,,对定时任务调度框架quartz源码的阅读和注释(comments on quartz-core source),水晶振動子ソースのコメントとクォーツコアソース
adamhub/screenbird,https://github.com/adamhub/screenbird,k-nishiura,Multimedia,,,,,,,a full cross platform video screen capture tool and host. Java based screen recorder - and Django based web backend. Also included is a distributed video processing engine that uses ffmpeg across any amount of AWS instances.,フルクロスプラットフォームのビデオスクリーンキャプチャツールおよびホスト。 Javaベースのスクリーンレコーダー-およびDjangoベースのWebバックエンド。また、任意の量のAWSインスタンスでffmpegを使用する分散ビデオ処理エンジンも含まれています。
airbnb/epoxy,https://github.com/airbnb/epoxy,k-nishiura,Multimedia,Android,,,,,,Epoxy is an Android library for building complex screens in a RecyclerView,Epoxyは、RecyclerViewで複雑な画面を構築するためのAndroidライブラリです
apache/commons-imaging,https://github.com/apache/commons-imaging,k-nishiura,Multimedia,,,,,,,Mirror of Apache Commons Imaging,Apache Commons Imagingのミラー
Brunel-Visualization/Brunel,https://github.com/Brunel-Visualization/Brunel,k-nishiura,Multimedia,,,,,,,Brunel Visualization,ブルネルの可視化
cmu-phil/tetrad,https://github.com/cmu-phil/tetrad,k-nishiura,Multimedia,Science,,,,,,Repository for the Tetrad Project - www.phil.cmu.edu/tetrad.,Tetradプロジェクトのリポジトリ-www.phil.cmu.edu/tetrad。
coobird/thumbnailator,https://github.com/coobird/thumbnailator,k-nishiura,Multimedia,,,,,,,Thumbnailator - a thumbnail generation library for Java,Thumbnailator-Java用のサムネイル生成ライブラリ
gentics/mesh,https://github.com/gentics/mesh,k-nishiura,Multimedia,Web,,,,,,Gentics Mesh - The open source headless CMS for developers,Gentics Mesh-開発者向けのオープンソースのヘッドレスCMS
helloworld1/AnyMemo,https://github.com/helloworld1/AnyMemo,k-nishiura,Multimedia,Android,,,,,,Advanced Spaced Repetition flashcard learning software for Android.,Android用の高度な間隔をあけた繰り返しフラッシュカード学習ソフトウェア。
igvteam/igv,https://github.com/igvteam/igv,k-nishiura,Multimedia,Science,,,,,,Integrative Genomics Viewer. Fast - efficient - scalable visualization tool for genomics data and annotations,統合ゲノミクスビューアー。高速-効率的-ゲノミクスデータおよび注釈用のスケーラブルな可視化ツール
imglib/imglib2,https://github.com/imglib/imglib2,k-nishiura,Multimedia,,,,,,,A generic next-generation Java library for image processing,画像処理用の汎用次世代Javaライブラリ
jcodec/jcodec,https://github.com/jcodec/jcodec,k-nishiura,Multimedia,,,,,,,JCodec main repo,JCodecメインリポジトリ
jfree/jfreechart,https://github.com/jfree/jfreechart,k-nishiura,Multimedia,,,,,,,A 2D chart library for Java applications (JavaFX - Swing or server-side).,Javaアプリケーション（JavaFX-Swingまたはサーバー側）用の2Dチャートライブラリ。
jfree/jfreechart-fse,https://github.com/jfree/jfreechart-fse,k-nishiura,Multimedia,,,,,,,JFreeChart - Future State Edition,JFreeChart-Future State Edition
JorenSix/TarsosDSP,https://github.com/JorenSix/TarsosDSP,k-nishiura,Multimedia,,,,,,,A Real-Time Audio Processing Framework in Java,Javaのリアルタイムオーディオ処理フレームワーク
k3b/APhotoManager,https://github.com/k3b/APhotoManager,k-nishiura,Multimedia,Data,Android,,,,,Manage local photos on Android: gallery - geotag with photomap - privacy - tags - find - sort - view - copy - send - ... .,Androidでのローカル写真の管理：ギャラリー-フォトマップ付きジオタグ-プライバシー-タグ-検索-並べ替え-ビュー-コピー-送信-...
leonbloy/pngj,https://github.com/leonbloy/pngj,k-nishiura,Multimedia,,,,,,,PNGJ : pure Java library for high performance PNG encoding,PNGJ：高性能のPNGエンコード用の純粋なJavaライブラリ
lessthanoptimal/BoofCV,https://github.com/lessthanoptimal/BoofCV,k-nishiura,Multimedia,,,,,,,Fast computer vision library for SFM - calibration - fiducials - tracking -  image processing - and more.,SFM用の高速コンピュータービジョンライブラリ-キャリブレーション-基準-追跡-画像処理-その他
Mach5/supersonic,https://github.com/Mach5/supersonic,k-nishiura,Multimedia,,,,,,,Open-source web-based media streamer and jukebox fork of Subsonic. Supports MP3 - OGG - AAC and other streamable audio and video formats. Runs on Windows - GNU/Linux and Mac using Java.,SubsonicのオープンソースのWebベースのメディアストリーマーとジュークボックスフォーク。 MP3-OGG-AACおよびその他のストリーミング可能なオーディオおよびビデオ形式をサポートします。 Windows上で実行-GNU / LinuxおよびJavaを使用するMac。
marytts/marytts,https://github.com/marytts/marytts,k-nishiura,Multimedia,,,,,,,MARY TTS -- an open-source - multilingual text-to-speech synthesis system written in pure java,MARY TTS-オープンソース-純粋なjavaで書かれた多言語のテキスト音声合成システム
mpatric/mp3agic,https://github.com/mpatric/mp3agic,k-nishiura,Multimedia,,,,,,,A java library for reading mp3 files and reading / manipulating the ID3 tags (ID3v1 and ID3v2.2 through ID3v2.4).,mp3ファイルを読み取り、ID3タグ（ID3v1およびID3v2.2からID3v2.4）を読み取り/操作するためのJavaライブラリ。
NineWorlds/serenity-android,https://github.com/NineWorlds/serenity-android,k-nishiura,Multimedia,,,,,,,And Android client for the Plex and Emby Media Servers optimized for Television displays.,また、テレビディスプレイ用に最適化されたPlexおよびEmbyメディアサーバー用のAndroidクライアント。
nroduit/Weasis,https://github.com/nroduit/Weasis,k-nishiura,Multimedia,,,,,,,Weasis is a DICOM viewer available as a desktop application  or as a web-based application.,Weasisは、デスクトップアプリケーションまたはWebベースのアプリケーションとして利用可能なDICOMビューアです。
OpenRoberta/robertalab,https://github.com/OpenRoberta/robertalab,k-nishiura,Multimedia,Middleware,Development,,,,,"IMPORTANT: this repository statys for HISTORICAL reasons only. The actively supported repository is ""openroberta-lab"". In the ""develop"" branch of this repository please read the files ""IMPORTANT_CHANGE.md"" and ""README.md"". Thank you very much.",重要：このリポジトリは、歴史的な理由でのみ使用されます。アクティブにサポートされているリポジトリは「openroberta-lab」です。このリポジトリの「開発」ブランチで、ファイル「IMPORTANT_CHANGE.md」および「README.md」をお読みください。どうもありがとうございました。
Renanse/Ardor3D,https://github.com/Renanse/Ardor3D,k-nishiura,Multimedia,,,,,,,Ardor3D is a free Java based - professionally oriented - open source 3D graphics engine.,Ardor3Dは、無料のJavaベースの（プロ指向の）オープンソース3Dグラフィックエンジンです。
sannies/mp4parser,https://github.com/sannies/mp4parser,k-nishiura,Multimedia,,,,,,,A Java API to read - write and create MP4 files,MP4ファイルを読み書きするJava API
sleuthkit/autopsy,https://github.com/sleuthkit/autopsy,k-nishiura,Multimedia,Science,,,,,,Autopsy® is a digital forensics platform and graphical interface to The Sleuth Kit® and other digital forensics tools. It can be used by law enforcement - military - and corporate examiners to investigate what happened on a computer. You can even use it to recover photos from your camera's memory card.,Autopsy®は、デジタルフォレンジックプラットフォームであり、The SleuthKit®およびその他のデジタルフォレンジックツールのグラフィカルインターフェイスです。法執行機関-軍-および企業の審査官がコンピューターで何が起こったかを調査するために使用できます。カメラのメモリカードから写真を復元するためにも使用できます。
StylingAndroid/Prism,https://github.com/StylingAndroid/Prism,k-nishiura,Multimedia,,,,,,,A dynamic colouring library for Android,Android用の動的な色付けライブラリ
synchrony/smsn,https://github.com/synchrony/smsn,k-nishiura,Multimedia,,,,,,,Semantic Synchrony. An experiment in cognitive and sensory augmentation.,セマンティック同期。認知および感覚増強の実験。
torakiki/sejda,https://github.com/torakiki/sejda,k-nishiura,Multimedia,,,,,,,An extendible and configurable PDF manipulation layer library written in java.,Javaで記述された、拡張可能で構成可能なPDF操作レイヤーライブラリ。
tordanik/OSM2World,https://github.com/tordanik/OSM2World,k-nishiura,Multimedia,Geospatial,,,,,,converter that creates three-dimensional models of the world from OpenStreetMap data,OpenStreetMapデータから世界の3次元モデルを作成するコンバーター
tralves/weex-todo-list,https://github.com/tralves/weex-todo-list,k-nishiura,Multimedia,,,,,,,A demo To-do app built with Weex and Vue2.0,WeexとVue2.0で構築されたデモTo-doアプリ
VUE/VUE,https://github.com/VUE/VUE,k-nishiura,Multimedia,,,,,,,Visual Understanding Environment,視覚的理解環境
structurizr/java,https://github.com/structurizr/java,k-nishiura,Multimedia,,,,,,,Structurizr for Java,Java用の構造体
veraPDF/veraPDF-library,https://github.com/veraPDF/veraPDF-library,k-nishiura,Multimedia,Security,,,,,,Industry supported - open source PDF/A validation library,業界サポート-オープンソースPDF / A検証ライブラリ
4thline/cling,https://github.com/4thline/cling,k-nishiura,Network,,,,,,,UPnP/DLNA library for Java and Android,JavaおよびAndroid用のUPnP / DLNAライブラリ
58code/Gaea,https://github.com/58code/Gaea,k-nishiura,Network,,,,,,,58.com跨平台高性能高可用中间层服务框架,58.comスパン平台高性能高可用中間層サービスケース
adyliu/jafka,https://github.com/adyliu/jafka,k-nishiura,Network,Distribution,,,,,,a fast and simple distributed publish-subscribe messaging system (mq),高速でシンプルな分散パブリッシュ/サブスクライブメッセージングシステム（mq）
aerogear/aerogear-unifiedpush-server,https://github.com/aerogear/aerogear-unifiedpush-server,k-nishiura,Network,,,,,,,:rocket: AeroGear UnifiedPush Server,：rocket：AeroGear UnifiedPushサーバー
agoncal/agoncal-application-petstore-ee7,https://github.com/agoncal/agoncal-application-petstore-ee7,k-nishiura,Network,,,,,,,A Java Petstore using the Java EE 7,Java EE 7を使用するJava Petstore
allegro/hermes,https://github.com/allegro/hermes,k-nishiura,Network,,,,,,,Fast and reliable message broker built on top of Kafka.,Kafkaの上に構築された高速で信頼性の高いメッセージブローカー。
apache/cloudstack,https://github.com/apache/cloudstack,k-nishiura,Network,Distribution,,,,,,Apache Cloudstack,Apache Cloudstack
apache/commons-fileupload,https://github.com/apache/commons-fileupload,k-nishiura,Network,,,,,,,Mirror of Apache Commons FileUpload,Apache Commons FileUploadのミラー
apache/commons-net,https://github.com/apache/commons-net,k-nishiura,Network,,,,,,,Apache Commons Net,Apache Commons Net
apache/curator,https://github.com/apache/curator,k-nishiura,Network,Distribution,,,,,,Apache Curator,アパッチキュレーター
apache/mina-sshd,https://github.com/apache/mina-sshd,k-nishiura,Network,,,,,,,Mirror of Apache MINA SSHD,Apache MINA SSHDのミラー
apache/pulsar,https://github.com/apache/pulsar,k-nishiura,Network,Distribution,,,,,,Apache Pulsar - distributed pub-sub messaging system,Apache Pulsar-分散型pub-subメッセージングシステム
apache/rocketmq,https://github.com/apache/rocketmq,k-nishiura,Network,Distribution,,,,,,Mirror of Apache RocketMQ,Apache RocketMQのミラー
apache/usergrid,https://github.com/apache/usergrid,k-nishiura,Network,,,,,,,Mirror of Apache Usergrid,Apache Usergridのミラー
apereo/java-cas-client,https://github.com/apereo/java-cas-client,k-nishiura,Network,,,,,,,Apereo Java CAS Client,Apereo Java CASクライアント
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,k-nishiura,Network,,,,,,,Asynchronous Http and WebSocket Client library for Java,Java用の非同期HTTPおよびWebSocketクライアントライブラリ
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,k-nishiura,Network,,,,,,,Realtime Client Server Framework for the JVM - supporting WebSockets with Cross-Browser Fallbacks,JVM用のリアルタイムクライアントサーバーフレームワーク-クロスブラウザーフォールバックを使用したWebSocketのサポート
baidu/Jprotobuf-rpc-socket,https://github.com/baidu/Jprotobuf-rpc-socket,k-nishiura,Network,,,,,,,Protobuf RPC是一种基于TCP协议的二进制RPC通信协议的Java实现,Protobuf RPCは、TCPをベースにした2つの進歩したRPC通信のJava実装です。
bbottema/simple-java-mail,https://github.com/bbottema/simple-java-mail,k-nishiura,Network,,,,,,,Simple API - Complex Emails (JavaMail smtp wrapper),シンプルなAPI-複雑なメール（JavaMail smtp wrapper）
blockchain/thunder,https://github.com/blockchain/thunder,k-nishiura,Network,Financial,,,,,,Off-Chain Bitcoin payments using smart contracts,スマートコントラクトを使用したオフチェーンビットコイン支払い
bozaro/git-as-svn,https://github.com/bozaro/git-as-svn,k-nishiura,Network,Development,,,,,,Subversion frontend server for git repository (java),Gitリポジトリ用のSubversionフロントエンドサーバー（Java）
briandilley/jsonrpc4j,https://github.com/briandilley/jsonrpc4j,k-nishiura,Network,Data,,,,,,JSON-RPC for Java,Java用のJSON-RPC
bulldog2011/luxun,https://github.com/bulldog2011/luxun,k-nishiura,Network,,,,,,,A high-throughput - persistent - distributed - publish-subscribe messaging system based on memory mapped file and Thrift RPC,メモリマッピングファイルとThrift RPCに基づく高スループット-永続的-分散-パブリッシュ/サブスクライブメッセージングシステム
code4craft/netty-learning,https://github.com/code4craft/netty-learning,k-nishiura,Network,,,,,,,Netty learning.,ネット学習。
confluentinc/kafka-connect-hdfs,https://github.com/confluentinc/kafka-connect-hdfs,k-nishiura,Network,,,,,,,Kafka Connect HDFS connector,Kafka Connect HDFSコネクター
confluentinc/kafka-connect-jdbc,https://github.com/confluentinc/kafka-connect-jdbc,k-nishiura,Network,Database,,,,,,Kafka Connect connector for JDBC-compatible databases,JDBC互換データベース用のKafka Connectコネクター
confluentinc/schema-registry,https://github.com/confluentinc/schema-registry,k-nishiura,Network,Data,,,,,,Confluent Schema Registry for Kafka,KafkaのConfluent Schema Registry
ConsenSys/eventeum,https://github.com/ConsenSys/eventeum,k-nishiura,Network,Distribution,,,,,,A resilient Ethereum event listener that bridges your smart contract events and backend microservices,スマートコントラクトイベントとバックエンドマイクロサービスを橋渡しする回復力のあるイーサリアムイベントリスナー
couchbase/couchbase-java-client,https://github.com/couchbase/couchbase-java-client,k-nishiura,Network,Database,,,,,,The official Java client for Couchbase Server,Couchbase Serverの公式Javaクライアント
dcm4che/dcm4che,https://github.com/dcm4che/dcm4che,k-nishiura,Network,Multimedia,Science,,,,,DICOM Implementation in JAVA,JAVAでのDICOM実装
devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,k-nishiura,Network,Distribution,,,,,,DeviceHive Java Server,DeviceHive Javaサーバー
didi/DDMQ,https://github.com/didi/DDMQ,k-nishiura,Network,Distribution,,,,,,DDMQ is a distributed messaging product with low latency - high throughput and high availability.,DDMQは、低レイテンシ（高スループットおよび高可用性）の分散メッセージング製品です。
dreamhead/moco,https://github.com/dreamhead/moco,k-nishiura,Network,Testing,,,,,,Easy Setup Stub Server,簡易セットアップスタブサーバー
eBay/parallec,https://github.com/eBay/parallec,k-nishiura,Network,,,,,,,Fast Parallel Async HTTP/SSH/TCP/UDP/Ping Client Java Library. Aggregate 100 -000 APIs & send anywhere in 20 lines of code. Ping/HTTP Calls 8000 servers in 12 seconds. (Akka) www.parallec.io,高速並列非同期HTTP / SSH / TCP / UDP / PingクライアントJavaライブラリ。 100 -000 APIを集約し、20行のコードでどこにでも送信します。 Ping / HTTPは12秒で8000サーバーを呼び出します。 （Akka）www.parallec.io
ebnew/ki4so,https://github.com/ebnew/ki4so,k-nishiura,Network,,,,,,,简约互联网单点登录系统是一个简单、无状态、易扩展、易伸缩，特别适合大型互联网应用的单点登录解决方案。,およその相互ネットワークの点登録システムは、特に大規模な相互ネットワークの用途に適した単一の、無状態の、容易な拡張、容易な拡張です。
eclipse/lsp4j,https://github.com/eclipse/lsp4j,k-nishiura,Network,Development,,,,,,A Java implementation of the language server protocol intended to be consumed by tools and language servers implemented in Java.,Javaで実装されたツールおよび言語サーバーで使用されることを目的とした、言語サーバープロトコルのJava実装。
electronicarts/ea-async,https://github.com/electronicarts/ea-async,k-nishiura,Network,Distribution,,,,,,EA Async implements async-await methods in the JVM.,EA Asyncは、JVMでasync-awaitメソッドを実装します。
floodlight/floodlight,https://github.com/floodlight/floodlight,k-nishiura,Network,OS,,,,,,Floodlight SDN OpenFlow Controller,Floodlight SDN OpenFlowコントローラー
